ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,CG_code,CG_descr,MCS_code,MCS_descr,edible_fraction_note,edible_fraction
3,Marine fishes,36,"Tunas, bonitos, billfishes",KAW,Euthynnus affinis,6,Tuna and tuna-like species,47,"Tuna, miscellaneous",Flesh edible fraction,58
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flesh edible fraction,67
3,Marine fishes,33,Miscellaneous coastal fishes,DEL,Dentex macrophthalmus,7,Other marine fish,51,"Seabream, other",Flesh edible fraction,54
3,Marine fishes,34,Miscellaneous demersal fishes,LHT,Trichiurus lepturus,7,Other marine fish,62,Other marine fish,Flesh edible fraction,59
3,Marine fishes,33,Miscellaneous coastal fishes,NHR,Canthidermis macrolepis,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
5,Molluscs,57,"Squids, cuttlefishes, octopuses",TDQ,Todaropsis eblanae,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,57,"Squids, cuttlefishes, octopuses",SQL,Dorytheutis (Amerigo) pealeii,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,56,"Clams, cockles, arkshells",CLM,Mesodesma donacium,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
3,Marine fishes,37,Miscellaneous pelagic fishes,MSD,Decapterus macarellus,7,Other marine fish,62,Other marine fish,Flesh edible fraction,52
5,Molluscs,56,"Clams, cockles, arkshells",MAT,Mactridae,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,18
5,Molluscs,51,Freshwater molluscs,CMM,Corbicula manilensis,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,18
3,Marine fishes,37,Miscellaneous pelagic fishes,HMM,Trachurus mediterraneus,5,Small pelagics,37,"Horse mackerel, other",Flesh edible fraction,52
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OQY,Octopus maya,9,Cephalopods,74,Octopus,Meat edible fraction,79
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OUM,Alloteuthis media,9,Cephalopods,75,Squid,Meat edible fraction,67
2,Diadromous fishes,25,Miscellaneous diadromous fishes,MIL,Chanos chanos,7,Other marine fish,62,Other marine fish,Flesh edible fraction,61
3,Marine fishes,33,Miscellaneous coastal fishes,DEM,Dentex maroccanus,7,Other marine fish,51,"Seabream, other",Flesh edible fraction,54
3,Marine fishes,33,Miscellaneous coastal fishes,MUL,Mugilidae,7,Other marine fish,62,Other marine fish,Flesh edible fraction,50
5,Molluscs,57,"Squids, cuttlefishes, octopuses",EDT,Eledone moschata,9,Cephalopods,74,Octopus,Meat edible fraction,79
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skinless fillet edible fraction,NA
3,Marine fishes,36,"Tunas, bonitos, billfishes",COM,Scomberomorus commerson,5,Small pelagics,38,Mackerel,Skinless fillet edible fraction,NA
