Food Code,Food Name,fixed_name,ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,EnglishName,CG_code,CG_descr,MCS_code,MCS_descr,Approximated
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JRE,Rajella barnardi,Bigthorn skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JRD,Rajella caudaspinosa,Munchskin skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JRQ,Rajella dissimilis,Ghost skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JFV,Rajella leopardus,Leopard skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RFV,Rajella ravidula,Smoothback skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JRK,Rostroraja ackleyi,Ocellate skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RJA,Rostroraja alba,White skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JFE,Rostroraja eglanteria,Clearnose skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JAF,Rostroraja texana,Roundel skate,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JAZ,Spiniraja whitleyi,Wedgenose skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RAJ,Rajidae,Rays and skates nei,7,Other marine fish,56,Ray,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",BYF,Arctoraja parmifera,Alaska skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",RAY,Arhynchobatis asperrimus,Longtail skate,7,Other marine fish,62,Other marine fish,TRUE
16-143,Skate ,Skate,3,Marine fishes,38,"Sharks, rays, chimaeras",JRT,Atlantoraja castelnaui,Spotback skate,7,Other marine fish,56,Ray,TRUE
