ERSCode,CG_code,CG_descr,MCS_code,MCS_descr,ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ScientificName,EnglishName,ProducedInScotland2021
GVK,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Lebetus scorpioides,Diminutive goby,FALSE
YTN,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Crystallogobius linearis,Crystal goby,FALSE
HZO,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Hazeus otakii,NA,FALSE
HSD,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Chasmichthys dolichognathus,NA,FALSE
CVO,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Clevelandia ios,Arrow goby,FALSE
GSC,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Asra turcomanus,NA,FALSE
AXS,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Asterropteryx ensiferus,Miller's damsel,FALSE
FCQ,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Asterropteryx semipunctata,Starry goby,FALSE
TBL,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Astrabe lactisella,NA,FALSE
ULC,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Aulopareia cyanomos,NA,FALSE
TKH,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Trypauchen raha,NA,FALSE
QHA,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Trypauchen vagina,NA,FALSE
ARW,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Austrolethops wardi,Small-eyed goby,FALSE
EVX,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Eviota abax,NA,FALSE
FFP,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Eviota guttata,NA,FALSE
FFQ,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Eviota pardalota,Leopard dwarfgoby,FALSE
FFR,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Eviota sebreei,NA,FALSE
BFN,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Barbulifer antennatus,Barbulifer,FALSE
EVM,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Evermannichthys metzelaari,Sponge goby,FALSE
BAK,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Barbuligobius boehlkei,NA,FALSE
OFL,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Coryphopterus alloides,Barfin goby,FALSE
OCU,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Apocryptodon madurensis,NA,FALSE
TKE,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Pterogobius elapoides,NA,FALSE
BFB,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Benthophiloides brauneri,NA,FALSE
BFI,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Boleophthalmus birdsongi,NA,FALSE
BFP,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Boleophthalmus pectinirostris,Great blue spotted mudskipper,FALSE
FBD,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Boleophthalmus dussumieri,NA,FALSE
LBX,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Lubricogobius exiguus,NA,FALSE
BLQ,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Bollmannia boqueronensis,White-eye goby,FALSE
YAA,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Bryaninops amplus,Large whip goby,FALSE
YBE,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Bryaninops yongei,Whip coral goby,FALSE
BFR,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Benthophilus baeri,NA,FALSE
BIF,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Buenia affinis,De Buen's goby,FALSE
ZBJ,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Buenia jeffreysii,Jeffrey's goby,FALSE
CBQ,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Chromogobius quadrivittatus,Chestnut goby,FALSE
ZEZ,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Zebrus zebrus,NA,FALSE
DDK,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Didogobius kochi,NA,FALSE
AJL,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Cabillus lacertops,NA,FALSE
GBO,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Zosterisessor ophiocephalus,Grass goby,FALSE
FGH,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Caffrogobius agulhensis,Agulhas goby,FALSE
HTX,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Chaeturichthys hexanema,NA,FALSE
HFS,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Chriolepis fisheri,NA,FALSE
LGC,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Clariger cosmurus,NA,FALSE
OGL,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Corcyrogobius liechtensteini,Liechtenstein's goby,FALSE
OGI,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Coryogalops adamsoni,Adamson's goby,FALSE
QCT,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Coryogalops anomolus,Anomolous goby,FALSE
QCU,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Coryogalops monospilus,Onespot goby,FALSE
QCV,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Coryogalops tessellatus,NA,FALSE
OUU,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Cotylopus acutipinnis,NA,FALSE
RLM,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Croilia mossambica,Burrowing goby,FALSE
YPB,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Cryptocentroides arabicus,Arabian goby,FALSE
TGG,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Ctenogobiops aurocingulus,Gold-streaked prawn-goby,FALSE
TMU,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Ctenotrypauchen microcephalus,Comb goby,FALSE
DEQ,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Deltentosteus quadrimaculatus,Four-spotted goby,FALSE
DPR,3,Groundfish,24,Other groundfish,3,Marine fishes,33,Miscellaneous coastal fishes,Discordipinna griessingeri,Spikefin goby,FALSE
EGO,7,Other marine fish,62,Other marine fish,3,Marine fishes,33,Miscellaneous coastal fishes,Ego zebra,NA,FALSE
